aruco_id,pair_id,latitude_north,longitude_east
0,9,36.111117782668586,140.09966345798952
1,6,36.11113574889208,140.09955226377429
2,5,36.11104591777459,140.0996078608819
3,7,36.11119863067434,140.09940771129445
4,8,36.111001002215836,140.09936323360836
5,2,36.111117782668586,140.09966345798952
6,1,36.110983035992334,140.09957450261732
7,3,36.111036934662835,140.09944106955902
8,4,36.11116269822733,140.09932987534378
9,0,36.11095608665709,140.09953002493123
